grid_id,species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,ax,ay,prov_geo,grid_id2,in_pa_b0,in_pa_b1_1,in_pa_b3,in_pa_b5,method,cause,method_grp,bio1,bio12,elev,warming_rate,climate_velocity,climate_exposure,unit_county,provgeo_county,unit_prefecture,provgeo_prefecture,valid_county,valid_prefecture
638,Tephrodornis virgatus,Zhejiang,2019,discovery_date,2019,2020,1,119.87,27.75,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,4.140089447132,1449884.38513306,3028599.62241884,Zhejiang,638,FALSE,FALSE,FALSE,TRUE,"","",unknown,1.56426668167114,1706,580,0.24517462933645,0.0470920804650966,0.0850920271159029,330328,Zhejiang,330300,Zhejiang,TRUE,TRUE
638,Treron sieboldii,Zhejiang,2020,discovery_date,2020,2021,1,119.67,27.71,TRUE,TRUE,浙江乌岩岭,national,森林生态,1974,0,1431184.05133512,3021282.06332291,Zhejiang,638,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.56426668167114,1706,580,0.24517462933645,0.0470920804650966,0.0850920271159029,330329,Zhejiang,330300,Zhejiang,TRUE,TRUE
639,Chalcophaps indica,Zhejiang,2018,discovery_date,2018,2019,1,120.14,27.52,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,38.7904228617865,1479906.93346074,3007208.84956429,Zhejiang,639,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.65273342132568,1586,333,0.24517462933645,0.0470920804650966,0.0850920271159029,330327,Zhejiang,330300,Zhejiang,TRUE,TRUE
639,Circus macrourus,Zhejiang,2021,discovery_date,2021,2023,2,120.63,27.86,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,78.2664966625357,1521463.8367706,3052108.96234611,Zhejiang,639,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.65273342132568,1586,333,0.24517462933645,0.0470920804650966,0.0850920271159029,330381,Zhejiang,330300,Zhejiang,TRUE,TRUE
659,Halcyon pileata,Tibet,2017,discovery_date,2017,2018,1,97.49,28.82,FALSE,FALSE,西藏察隅慈巴沟,national,森林生态,1985,34.1236782024599,-725261.007711262,3066857.80115916,Tibet,659,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,0.0992666661739349,713,4207,-0.0559222994950152,0.042174245586323,0.0244374209082694,540425,Tibet,540400,Tibet,TRUE,TRUE
660,Parayuhina diademata,Tibet,2013,discovery_date,2013,2014,1,98.47,28.84,FALSE,FALSE,西藏芒康滇金丝猴,national,野生动物,1993,21.1150025258649,-630619.425868573,3062398.5472393,Tibet,660,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,-0.0485333323478699,648,4474,-0.0559222994950152,0.042174245586323,0.0244374209082694,540327,Tibet,540300,Tibet,TRUE,TRUE
669,Indicator xanthonotus,Sichuan,2021,discovery_date,2021,2022,1,103.02,29.17,FALSE,FALSE,四川金口河八月林,unknown,野生动物,2006,0.161682478427129,-190602.312591752,3080499.48484905,Sichuan,669,FALSE,TRUE,TRUE,TRUE,"","",unknown,1.2764666557312,1066,1641,0.172594181637433,0.0614651285579834,0.0502349422385811,511113,Sichuan,511100,Sichuan,TRUE,TRUE
673,Cyornis hainanus,Sichuan,2023,discovery_date,2023,2023,0,104.87,28.99,FALSE,FALSE,长江上游珍稀、特有鱼类,national,野生动物,1997,19.437694892051,-12541.5119911897,3058450.94884252,Sichuan,673,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.80321674346924,1139,297,0.172594181637433,0.0614651285579834,0.0502349422385811,511503,Sichuan,511500,Sichuan,TRUE,TRUE
674,Remiz consobrinus,Sichuan,2020,discovery_date,2020,2021,1,105.38,29.15,FALSE,FALSE,长江上游珍稀、特有鱼类,national,野生动物,1997,22.9214534083155,36591.1509859986,3076428.86089874,Sichuan,674,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.78950004577637,1106,310,0.172594181637433,0.0614651285579834,0.0502349422385811,510521,Sichuan,510500,Sichuan,TRUE,TRUE
678,Grandala coelicolor,Chongqing,2007,discovery_date,2007,2009,2,107.57,29.27,FALSE,FALSE,重庆金佛山,national,野生植物,1979,18.2306239583129,247096.796269673,3092998.39038145,Chongqing,678,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化,birdwatching,1.01418333053589,1347,1702,0.0101790158016724,0.0019952400259006,0.00710953190322487,500156,Chongqing,5e+05,Chongqing,TRUE,TRUE
679,Gypaetus barbatus,Chongqing,2007,discovery_date,2007,2010,3,107.86,28.98,FALSE,FALSE,贵州沿河麻阳河,national,野生动物,1987,32.9201382528957,275907.429409635,3061297.52860965,Guizhou,679,FALSE,FALSE,FALSE,FALSE,检查照片，村民拍摄,分布变化,birdwatching,1.58676662445068,1280,635,0.0101790158016724,0.0019952400259006,0.00710953190322487,500243,Chongqing,5e+05,Chongqing,TRUE,TRUE
680,Ficedula hyperythra,Chongqing,2007,discovery_date,2007,2009,2,108.89,29.32,FALSE,FALSE,黔江小南海湿地,local,湿地生态,2011,34.1212521701289,373736.976791139,3102724.31918056,Chongqing,680,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化,birdwatching,1.44141664505005,1376,911,0.0101790158016724,0.0019952400259006,0.00710953190322487,500114,Chongqing,5e+05,Chongqing,TRUE,TRUE
683,Phoenicurus ochruros,Hunan,2021,discovery_date,2021,2021,0,110.44,29.1,FALSE,FALSE,张家界大鲵国家级自然保护区,national,野生动物,1996,17.0115002248009,523877.070783117,3085115.66655976,Hunan,683,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.61958332061768,1415,420,0.103357874200594,0.0189702283469961,0.0347710350255269,430802,Hunan,430800,Hunan,TRUE,TRUE
690,Myiomela leucura,Jiangxi,2016,discovery_date,2016,2018,2,113.99,29.01,FALSE,FALSE,湖南仙姑山,local,野生动物,1983,31.9447870852528,865906.805609899,3099913.22787031,Jiangxi,690,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.58795003890991,1503,387,0.103357874200594,0.0189702283469961,0.0347710350255269,360424,Jiangxi,360400,Jiangxi,TRUE,TRUE
695,Emberiza siemsseni,Jiangxi,2011,discovery_date,2011,2013,2,116.25,28.75,FALSE,FALSE,江西鄱阳湖南矶湿地,national,湿地生态,1997,14.5758046229228,1086039.68833878,3093178.80595,Jiangxi,695,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.77343330383301,1606,19,0.316090936826047,0.0555181677950237,0.0727307499262645,360121,Jiangxi,360100,Jiangxi,TRUE,TRUE
700,Psilopogon faber,Zhejiang,2016,discovery_date,2016,2018,2,119.13,28.35,FALSE,FALSE,浙江九龙山,national,森林生态,1983,20.6800359580422,1368724.8543906,3084408.69525221,Zhejiang,700,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.40818328857422,1884,918,0.24517462933645,0.0470920804650966,0.0850920271159029,331123,Zhejiang,331100,Zhejiang,TRUE,TRUE
705,Cyanoderma pyrrhops,Tibet,2010,discovery_date,2010,2010,0,85.98,28,TRUE,TRUE,西藏珠穆朗玛峰,national,森林生态,1988,0,-1844796.74899507,3124985.86815531,Tibet,705,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化,birdwatching,-0.114816665649414,471,4834,-0.0559222994950152,0.042174245586323,0.0244374209082694,540235,Tibet,540200,Tibet,TRUE,TRUE
705,Pnoepyga immaculata,Tibet,2010,discovery_date,2010,2010,0,85.97,27.98,TRUE,TRUE,西藏珠穆朗玛峰,national,森林生态,1988,0,-1846180.34361676,3122978.74196561,Tibet,705,TRUE,TRUE,TRUE,TRUE,观察和拍摄，记录鸣声回放,前人错记其为其他物种,birdwatching,-0.114816665649414,471,4834,-0.0559222994950152,0.042174245586323,0.0244374209082694,540235,Tibet,540200,Tibet,TRUE,TRUE
723,Acrocephalus bistrigiceps,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-927718.394072103,3141737.82923552,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化或缺乏调查,birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Acrocephalus orientalis,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-927718.394072103,3141737.82923552,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化或缺乏调查,birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Centropus bengalensis,Tibet,2022,discovery_date,2022,2024,2,95.34,29.34,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-926653.204428367,3142759.5336772,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Dicrurus remifer,Tibet,2019,discovery_date,2019,2019,0,95.34,29.3,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-927088.561778274,3138299.27573291,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Elachura formosa,Tibet,2019,discovery_date,2019,2019,0,95.28,29.32,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-932609.501140571,3141091.24281442,Tibet,723,TRUE,TRUE,TRUE,TRUE,记录鸣唱，回放鸣唱诱导其中一只从林中跳出,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Erpornis zantholeuca,Tibet,2019,discovery_date,2019,2019,0,95.34,29.3,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-927088.561778274,3138299.27573291,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Falco severus,Tibet,2013,discovery_date,2013,2014,1,95.28,29.32,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-932609.501140571,3141091.24281442,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化,birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Ficedula albicilla,Tibet,2016,discovery_date,2016,2017,1,95.16,29.25,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-944861.671382213,3134421.9469688,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Halcyon smyrnensis,Tibet,2013,discovery_date,2013,2014,1,95.32,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-928674.731473463,3141831.32139089,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Helopsaltes certhiola,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-927718.394072103,3141737.82923552,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化或缺乏调查,birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Lonchura striata,Tibet,2003,discovery_date,2003,2006,3,95.15,29.23,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-946040.653643641,3132287.84097155,Tibet,723,TRUE,TRUE,TRUE,TRUE,网捕,分布变化,professional_survey,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Megaceryle lugubris,Tibet,2019,discovery_date,2019,2019,0,95.2,29.25,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-941033.278806472,3134042.03522813,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Melanochlora sultanea,Tibet,2019,discovery_date,2019,2019,0,95.26,29.29,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-934851.499551764,3137934.48695317,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Phylloscopus cantator,Tibet,2016,discovery_date,2016,2017,1,95.14,29.23,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-946997.94279761,3132383.1786757,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Picus chlorolophus,Tibet,2019,discovery_date,2019,2019,0,95.35,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-925805.69104278,3141551.13390705,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Pomatorhinus schisticeps,Tibet,2015,discovery_date,2015,2016,1,95.35,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-925805.69104278,3141551.13390705,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Psarisomus dalhousiae,Tibet,2015,discovery_date,2015,2016,1,95.32,29.34,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-928565.664009517,3142946.39971192,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
723,Pteruthius rufiventer,Tibet,2019,discovery_date,2019,2019,0,95.26,29.29,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-934851.499551764,3137934.48695317,Tibet,723,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.6420166015625,1610,1265,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
724,Abroscopus albogularis,Tibet,2016,discovery_date,2016,2017,1,95.39,29.41,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-921113.857927303,3150100.8041356,Tibet,724,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,0.414900016784668,799,3626,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
724,Anser fabalis,Tibet,2016,discovery_date,2016,2016,0,95.83,29.27,FALSE,FALSE,西藏雅鲁藏布大峡谷,national,森林生态,1985,1.17127407193957,-880509.70686514,3130492.81647401,Tibet,724,FALSE,FALSE,TRUE,TRUE,观察拍摄,"",birdwatching,0.414900016784668,799,3626,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
724,Lophotriorchis kienerii,Tibet,2019,discovery_date,2019,2019,0,95.35,29.45,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-924500.772199093,3154934.03471083,Tibet,724,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,0.414900016784668,799,3626,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
724,Sitta cinnamoventris,Tibet,2016,discovery_date,2016,2017,1,95.4,29.41,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-920158.353503993,3150008.07350366,Tibet,724,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,0.414900016784668,799,3626,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
724,Sitta formosa,Tibet,2019,discovery_date,2019,2019,0,95.36,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-924849.325434223,3141457.93073583,Tibet,724,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,0.414900016784668,799,3626,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
728,Podiceps nigricollis,Tibet,2013,discovery_date,2013,2014,1,97.8,29.3,FALSE,FALSE,西藏芒康滇金丝猴,national,野生动物,1993,59.7434647479445,-691482.699619197,3118245.58222373,Tibet,728,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.0238333344459534,650,4505,-0.0559222994950152,0.042174245586323,0.0244374209082694,540327,Tibet,540300,Tibet,TRUE,TRUE
730,Ciconia nigra,Tibet,2020,discovery_date,2020,2021,1,98.87,29.55,FALSE,FALSE,西藏芒康滇金丝猴,national,野生动物,1993,23.3254025792573,-587134.048721981,3139307.98856979,Tibet,730,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.320466661453247,572,3962,-0.0559222994950152,0.042174245586323,0.0244374209082694,540328,Tibet,540300,Tibet,TRUE,TRUE
736,Heteroxenicus stellatus,Sichuan,2015,discovery_date,2015,2018,3,101.99,29.57,TRUE,TRUE,四川贡嘎山,national,森林生态,1996,0,-288370.212980505,3127789.8008729,Sichuan,736,TRUE,TRUE,TRUE,TRUE,"","",unknown,-0.737683296203613,843,5523,0.172594181637433,0.0614651285579834,0.0502349422385811,513322,Sichuan,513300,Sichuan,TRUE,TRUE
745,Acridotheres tristis,Chongqing,2010,discovery_date,2010,2010,0,106.53,29.45,FALSE,FALSE,白市驿,local,野生动物,1998,6.37072704025424,146804.127537466,3111099.48697617,Chongqing,745,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.81695003509521,1164,324,0.0101790158016724,0.0019952400259006,0.00710953190322487,500113,Chongqing,5e+05,Chongqing,TRUE,TRUE
745,Anser indicus,Chongqing,2006,discovery_date,2006,2007,1,106.43,29.84,FALSE,FALSE,重庆缙云山,national,森林生态,1979,0.836875200756305,136580.012006212,3154675.89812808,Chongqing,745,FALSE,TRUE,TRUE,TRUE,观察和拍摄,分布变化,birdwatching,1.81695003509521,1164,324,0.0101790158016724,0.0019952400259006,0.00710953190322487,500109,Chongqing,5e+05,Chongqing,TRUE,TRUE
745,Gracupica nigricollis,Chongqing,2006,discovery_date,2006,2006,0,106.5,29.51,FALSE,FALSE,白市驿,local,野生动物,1998,4.0677524812887,143824.24255372,3117779.25821798,Chongqing,745,FALSE,FALSE,FALSE,TRUE,观察,分布变化,birdwatching,1.81695003509521,1164,324,0.0101790158016724,0.0019952400259006,0.00710953190322487,500107,Chongqing,5e+05,Chongqing,TRUE,TRUE
745,Vanellus indicus,Chongqing,2017,discovery_date,2017,2019,2,106.68,29.74,FALSE,FALSE,白市驿,local,野生动物,1998,23.6344558903939,160645.288574444,3143836.86758064,Chongqing,745,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,1.81695003509521,1164,324,0.0101790158016724,0.0019952400259006,0.00710953190322487,500112,Chongqing,5e+05,Chongqing,TRUE,TRUE
752,Niltava sundara,Hunan,2014,discovery_date,2014,2015,1,110.38,29.3,FALSE,FALSE,张家界大鲵国家级自然保护区,national,野生动物,1996,4.17034439899314,516891.36615919,3107169.39809912,Hunan,752,FALSE,FALSE,FALSE,TRUE,"","",unknown,1.57268333435059,1410,541,0.103357874200594,0.0189702283469961,0.0347710350255269,430802,Hunan,430800,Hunan,TRUE,TRUE
753,Tarsiger chrysaeus,Hunan,2022,discovery_date,2022,2025,3,110.56,29.34,TRUE,TRUE,张家界大鲵国家级自然保护区,national,野生动物,1996,0,533916.496110643,3112596.63381795,Hunan,753,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.56908330917358,1365,493,0.103357874200594,0.0189702283469961,0.0347710350255269,430811,Hunan,430800,Hunan,TRUE,TRUE
754,Fringilla coelebs,Hunan,2017,discovery_date,2017,2023,6,111.18,29.5,FALSE,FALSE,张家界大鲵国家级自然保护区,national,野生动物,1996,55.7245523233202,592265.535011296,3134011.49190212,Hunan,754,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,1.60496673583984,1300,315,0.103357874200594,0.0189702283469961,0.0347710350255269,430821,Hunan,430800,Hunan,TRUE,TRUE
755,Ninox japonica,Hunan,2018,discovery_date,2018,2023,5,111.63,29.53,FALSE,FALSE,花岩溪,provincial,森林生态,1997,53.5917169946525,635105.338276818,3140148.58219363,Hunan,755,FALSE,FALSE,FALSE,FALSE,鸣声频谱分析，观察和拍摄,"",birdwatching,1.67946662902832,1241,93,0.103357874200594,0.0189702283469961,0.0347710350255269,430724,Hunan,430700,Hunan,TRUE,TRUE
759,Elachura formosa,Hubei,2017,discovery_date,2017,2019,2,113.85,29.32,FALSE,FALSE,湖北九宫山,national,森林生态,1981,52.3302658908261,849367.328854815,3133283.43158333,Hubei,759,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.71828327178955,1394,103,0.217144813451741,0.0431056373179286,0.0631284864935155,421223,Hubei,421200,Hubei,TRUE,TRUE
759,Ptyonoprogne rupestris,Hubei,2017,discovery_date,2017,2025,8,113.69,29.4,FALSE,FALSE,湖南东洞庭湖,national,湿地生态,1984,43.501484522723,833267.548198521,3140856.29854899,Hubei,759,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.71828327178955,1394,103,0.217144813451741,0.0431056373179286,0.0631284864935155,430682,Hunan,430600,Hunan,FALSE,FALSE
762,Phoenicurus frontalis,Jiangxi,2019,discovery_date,2019,2019,0,115.56,29.02,FALSE,FALSE,江西永修泡桐,local,森林生态,2000,10.6404171944658,1016480.50254008,3115911.57208815,Jiangxi,762,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.62835006713867,1540,285,0.316090936826047,0.0555181677950237,0.0727307499262645,360425,Jiangxi,360400,Jiangxi,TRUE,TRUE
762,Turdus rubrocanus,Jiangxi,2017,discovery_date,2017,2018,1,115.28,29.01,TRUE,TRUE,江西九岭山,national,森林生态,1997,0,989741.802928678,3111969.04859093,Jiangxi,762,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.62835006713867,1540,285,0.316090936826047,0.0555181677950237,0.0727307499262645,360925,Jiangxi,360900,Jiangxi,TRUE,TRUE
763,Passer domesticus,Jiangxi,2019,discovery_date,2019,2023,4,116.08,29.06,FALSE,FALSE,江西鄱阳湖候鸟,national,野生动物,1988,1.8987199741259,1065832.58947969,3125816.997061,Jiangxi,763,FALSE,FALSE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.75803337097168,1487,16,0.316090936826047,0.0555181677950237,0.0727307499262645,360112,Jiangxi,360100,Jiangxi,TRUE,TRUE
771,Hydrocoloeus minutus,Zhejiang,2017,discovery_date,2017,2017,0,119.95,28.48,FALSE,FALSE,夹溪,local,森林生态,1994,75.5894154495045,1445390.3409257,3110409.91523003,Zhejiang,771,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.62158336639404,1507,336,0.24517462933645,0.0470920804650966,0.0850920271159029,331102,Zhejiang,331100,Zhejiang,TRUE,TRUE
774,Iduna caligata,Zhejiang,2021,discovery_date,2021,2022,1,121.53,28.62,FALSE,FALSE,韭山列岛,national,海洋海岸,1998,95.0664301774368,1594206.50617464,3150059.52225331,"",774,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.73029766082764,1436,4,0.24517462933645,0.0470920804650966,0.0850920271159029,331002,Zhejiang,331000,Zhejiang,TRUE,TRUE
774,Lanius isabellinus,Zhejiang,2022,discovery_date,2022,2022,0,121.54,28.34,FALSE,FALSE,夹溪,local,森林生态,1994,119.111555898469,1600354.30941291,3119342.40642858,Zhejiang,774,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.73029766082764,1436,4,0.24517462933645,0.0470920804650966,0.0850920271159029,331081,Zhejiang,331000,Zhejiang,TRUE,TRUE
775,Hieraaetus pennatus,Tibet,2012,discovery_date,2012,2016,4,85.35,28.35,TRUE,TRUE,西藏珠穆朗玛峰,national,森林生态,1988,0,-1897424.54598172,3175230.94264854,Tibet,775,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,0.917533397674561,861,3012,-0.0559222994950152,0.042174245586323,0.0244374209082694,540234,Tibet,540200,Tibet,TRUE,TRUE
786,Nycticorax nycticorax,Tibet,2014,discovery_date,2014,2014,0,91.09,29.28,FALSE,FALSE,西藏雅鲁藏布江中游河谷黑颈鹤,national,野生动物,1993,29.5288098008739,-1333020.55899398,3184456.62588583,Tibet,786,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.51118335723877,357,4068,-0.0559222994950152,0.042174245586323,0.0244374209082694,540522,Tibet,540500,Tibet,TRUE,TRUE
792,Macropygia unchall,Tibet,2016,discovery_date,2016,2017,1,93.8,29.38,FALSE,FALSE,西藏雅鲁藏布大峡谷,national,森林生态,1985,94.4618678292009,-1073292.1264177,3162728.2591727,Tibet,792,FALSE,FALSE,FALSE,FALSE,观察拍摄,"",birdwatching,-0.192066669464111,569,4801,-0.0559222994950152,0.042174245586323,0.0244374209082694,540422,Tibet,540400,Tibet,TRUE,TRUE
795,Anthus richardi,Tibet,2016,discovery_date,2016,2017,1,95.49,29.66,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-908878.315415862,3177071.18510376,Tibet,795,TRUE,TRUE,TRUE,TRUE,观察拍摄,"",birdwatching,0.332750010490418,727,3730,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
795,Stachyris humei,Tibet,2014,discovery_date,2014,2015,1,95.47,29.6,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,-911428.558583368,3170558.8680581,Tibet,795,TRUE,TRUE,TRUE,TRUE,观察拍摄,调查扩大,birdwatching,0.332750010490418,727,3730,-0.0559222994950152,0.042174245586323,0.0244374209082694,540423,Tibet,540400,Tibet,TRUE,TRUE
799,Emberiza pusilla,Tibet,2013,discovery_date,2013,2014,1,97.83,29.69,FALSE,FALSE,西藏芒康滇金丝猴,national,野生动物,1993,49.7967637250681,-685452.548803326,3161633.462001,Tibet,799,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.107200002670288,611,4472,-0.0559222994950152,0.042174245586323,0.0244374209082694,540327,Tibet,540300,Tibet,TRUE,TRUE
